Date	Polling Firm	ND	SYRIZA	PASOK/ Elia	ANEL	XA	DIMAR	KKE	Potami	Others	Lead
18–19 Dec	Kapa Research	28.3	29.3	7.3	5.2	9.8	3.7	6.9	Did not exist	9.5	1.0
17–19 Dec	Rass	29.7	30.2	5.6	5.9	7.6	4.3	7.9	9.0	0.5
13–19 Dec	Palmos Analysis	24.4	31.0	6.3	6.4	9.1	5.6	6.5	10.8	6.6
16–18 Dec	Pulse RC	25.0	28.0	7.0	5.5	14.5	4.0	7.0	9.5	3.0
19 Nov–12 Dec	Metron Analysis	28.5	30.2	6.5	6.9	10.3	3.9	5.5	8.2	1.7
2–11 Dec	MRB	27.9	29.1	6.3	6.4	11.8	4.1	6.7	7.7	1.2
29 Nov–3 Dec	Pulse RC	25.0	28.5	8.0	5.0	14.5	3.0	7.5	8.0	3.5
28–30 Nov	GPO	26.2	26.8	7.6	6.8	11.0	5.3	7.7	8.5	0.6
26–28 Nov	Kapa Research	28.9	28.1	7.7	5.7	9.9	4.3	6.3	9.2	0.8
26–28 Nov	Metrisi	31.0	29.7	6.2	5.9	8.8	2.3	7.1	9.1	1.3
19–25 Nov	Marc	27.8	29.7	6.4	6.7	8.8	5.8	6.6	8.2	1.9
19–20 Nov	Metron Analysis	29.2	29.9	6.0	5.9	10.0	3.7	5.9	9.4	0.7
12–16 Nov	Palmos Analysis	26.5	30.5	7.5	6.4	11.0	3.5	6.0	8.7	4.0
12–15 Nov	Alco	27.8	28.3	6.4	6.7	11.1	4.3	5.3	10.2	0.5
12–14 Nov	Rass	30.9	28.9	5.9	6.1	7.9	4.0	7.4	8.8	2.0
6–12 Nov	Pulse RC	26.5	27.5	8.0	5.5	13.0	3.5	6.0	9.5	1.0
15–16 Oct	Metron Analysis	30.3	28.9	7.1	6.4	7.6	3.6	5.9	10.3	1.4
14–16 Oct	Metrisi	30.3	28.6	7.1	6.5	7.9	2.6	7.1	10.0	1.7
