Date	Polling Firm	ND	SYRIZA	PASOK/ Elia	ANEL	XA	DIMAR	KKE	Potami	Others	Lead
30–31 Dec	Interview	29.9	32.7	5.8	2.4	6.0	0.8	6.0	6.0	10.4	2.8
28–30 Dec	UoM	29.5	34.5	4.5	2.5	7.0	0.5	6.0	6.0	9.5	5.0
26–28 Dec	Marc	28.9	32.3	5.3	3.5	6.8	1.2	6.2	7.0	8.8	3.4
26–28 Dec	Palmos Analysis	29.0	35.0	4.5	3.5	7.0		5.0	9.5	6.5	6.0
26–27 Dec	Interview	29.1	32.0	6.4	2.4	6.8	0.7	6.5	5.5	10.6	2.9
23–24 Dec	Kapa Research	30.3	33.3	7.5	3.1	6.7		7.1	7.1	4.9	3.0
20–23 Dec	Marc	27.9	31.9	5.1	3.7	6.4	1.4	6.0	6.5	11.1	4.0
19–22 Dec	Palmos Analysis	27.5	32.5	5.0	4.5	6.0		6.0	7.5	11.0	5.0
18–22 Dec	Alco	30.9	35.0	5.7	3.7	6.4		5.2	5.4	7.7	4.1
19–21 Dec	Pulse RC	29.5	33.5	7.5	4.0	6.5		6.0	6.5	6.5	4.0
14–21 Dec	Patris News	24.4	32.2	8.7	4.2	10.8	0.9	4.6	5.3	8.9	7.8
18–20 Dec	Interview	30.3	33.3	6.2	2.2	5.5	1.1	6.3	5.5	9.6	3.0
17–18 Dec	Rass	29.3	33.5	5.7	3.5	5.4		6.5	7.2	8.9	4.2
17 Dec	Marc	28.4	32.5	5.5	3.4	6.6	1.6	6.4	6.4	9.2	4.1
15–17 Dec	UoM	28.0	35.0	5.5	3.5	7.0	0.5	5.5	7.5	7.5	7.0
10–17 Dec	Public Issue	29.5	36.5	6.0	3.5	6.0	1.0	6.0	8.5	3.0	7.0
14–16 Dec	Palmos Analysis	27.0	34.5	4.5	5.0	6.5		6.0	6.5	10.0	7.5
11–15 Dec	GPO	27.8	33.7	6.1	3.3	6.0		6.6	6.1	10.2	5.9
11–14 Dec	VCitizens	29.0	33.7	4.5	3.5	8.8	1.5	7.1	6.1	5.9	4.7
12–13 Dec	Pulse RC	28.5	32.5	8.5	4.0	7.0		6.0	6.5	7.0	4.0
10–13 Dec	MRB	26.7	30.8	7.0	3.6	5.7	1.9	6.4	7.3	10.6	4.1
11–12 Dec	Interview	30.5	34.0	6.5	2.6	4.6	1.5	5.5	4.9	9.8	3.5
9–12 Dec	Alco	30.3	34.8	6.3	3.7	7.1		5.5	5.2	7.1	4.5
10–11 Dec	Kapa Research	28.4	32.0	8.4	3.4	7.4		7.3	7.5	5.6	3.6
9–10 Dec	Interview	30.5	34.2	5.7	2.1	5.2	0.8	6.7	5.4	9.4	3.7
8–10 Dec	Metron Analysis	28.6	32.8	5.8	3.4	5.6		5.6	9.2	9.0	4.2
3–10 Dec	MRB	25.9	31.0	6.6	3.8	6.4	1.5	6.5	7.6	10.7	5.1
8–9 Dec	Alco	29.6	35.7	6.0	4.2	6.9		5.5	5.5	6.6	6.1
5–6 Dec	Pulse RC	26.5	32.5	8.0	4.0	7.5	1.0	6.5	7.5	6.0	6.0
4–5 Dec	Interview	30.4	34.0	6.5	2.6	4.6	1.7	5.5	4.9	9.8	3.6
1–3 Dec	Metron Analysis	27.8	34.0	5.4	3.8	7.0		5.6	9.7	6.7	6.2
28–29 Nov	Pulse RC	27.0	32.5	8.0	4.0	7.0	1.0	6.5	7.5	6.0	5.5
24–27 Nov	Palmos Analysis	23.0	34.5	5.0	4.5	8.0	0.5	6.5	8.0	10.0	11.5
24–26 Nov	Metron Analysis	28.2	33.1	6.4	3.7	6.1	1.3	6.6	7.5	7.1	4.9
21–24 Nov	UoM	24.0	33.0	4.0	3.5	8.0	1.0	6.5	7.0	13.0	9.0
21–22 Nov	Pulse RC	26.0	32.0	8.0	4.0	7.5	1.0	7.0	7.0	7.5	6.0
18–19 Nov	Kapa Research	27.3	31.8	8.4	3.9	7.5		7.3	8.1	5.7	4.5
17–19 Nov	MRB	25.1	30.6	5.1	4.0	6.3	1.4	6.4	9.6	11.5	5.5
17–19 Nov	Metron Analysis	26.3	32.9	5.2	4.0	5.0		6.2	8.3	12.1	6.6
10–17 Nov	Public Issue	27.0	38.5	5.0	3.0	6.0	1.0	6.5	8.5	4.5	11.5
10–12 Nov	Metron Analysis	26.5	31.3	5.3	3.8	5.8	1.6	6.1	10.0	9.6	4.8
5–6 Nov	Interview	30.0	33.3	5.9	3.5	4.1	1.5	5.2	5.8	10.7	3.3
3–5 Nov	Metron Analysis	26.5	32.6	5.1	4.8	5.9		5.3	10.3	9.5	6.1
31 Oct–3 Nov	Palmos Analysis	23.5	35.0	5.5	4.0	8.0	1.0	5.5	7.0	10.5	11.5
29–31 Oct	Rass	26.8	33.5	5.2	3.8	6.5	1.3	6.9	7.4	8.6	6.7
29–30 Oct	Metrisi	28.3	32.0	6.2	2.7	7.5	1.1	6.3	6.5	9.4	3.7
21–23 Oct	Alco	29.8	35.4	5.1	3.7	6.9		5.5	5.7	7.9	5.6
17–21 Oct	Pulse RC	26.5	32.5	8.0	3.5	8.5	2.0	6.5	7.0	5.5	6.0
13–20 Oct	Public Issue	27.0	35.5	6.0	3.0	6.0	1.0	6.5	10.5	4.5	8.5
18 Oct	UoM	24.0	33.0	5.0	3.0	8.0	0.5	6.5	9.0	11.0	9.0
13–15 Oct	Kapa Research	27.5	32.1	6.8	4.5	7.5	1.3	6.2	6.6	7.5	4.6
13–15 Oct	Metron Analysis	26.1	32.9	4.7	4.7	6.3		6.8	8.5	10.0	6.8
9–13 Oct	GPO	25.3	33.5	5.0	3.8	7.2		7.2	7.5	10.5	8.2
8–10 Oct	Metrisi	28.9	32.6	6.5	2.9	8.2	1.1	6.5	5.5	7.8	3.7
6–8 Oct	Metron Analysis	26.2	34.1	4.6	3.3	7.0	1.3	5.3	9.1	9.1	7.9
4–8 Oct	Palmos Analysis	25.0	35.5	6.5	3.0	6.0	1.0	5.0	7.5	10.5	10.5
27 Sep–4 Oct	UoA	23.7	34.1	6.8	3.3	10.5	0.8	6.4	7.4	7.0	10.4
29 Sep–2 Oct	E-Voice	25.3	30.7	5.6	2.9	7.7	1.2	6.4	6.7	13.5	5.4
15–23 Sep	Public Issue	25.0	36.0	5.5	4.0	7.5	1.0	6.5	9.5	5.0	11.0
16–18 Sep	Rass	27.8	32.6	5.3	4.0	8.5	1.3	7.0	5.9	7.6	4.8
16–18 Sep	MRB	25.3	30.0	5.3	4.1	8.5	1.3	6.5	7.1	11.8	4.7
16–18 Sep	Alco	28.2	33.2	5.5	3.9	7.9	2.1	5.6	5.5	8.1	5.0
11–15 Sep	UoM	23.0	30.5	7.0	4.0	8.0	1.5	7.0	7.0	12.0	7.5
8–10 Sep	Metron Analysis	27.4	31.0	6.2	4.0	7.1		7.5	6.4	10.4	3.6
2–4 Sep	E-Voice	25.0	28.6	6.8	3.4	10.0	1.8	9.2	5.5	9.7	3.6
1–3 Sep	Alco	27.8	32.4	5.5	4.5	9.4	2.9	5.9	4.7	6.9	4.6
25–28 Aug	Palmos Analysis	25.0	35.0	4.5	4.0	11.5	1.5	5.0	3.5	10.0	10.0
15–16 Jul	Pulse RC	24.5	28.0	8.0	4.0	10.5	2.0	6.5	8.0	7.5	3.5
1–9 Jul	Public Issue	24.0	31.0	7.5	4.5	8.5	1.5	6.5	10.5	6.0	7.0
25 Jun–4 Jul	MRB	24.7	26.8	7.9	4.7	10.6	1.6	6.4	8.4	8.9	2.1
9–11 Jun	Metron Analysis	24.9	27.9			8.7				38.5	3.0
3–11 Jun	Public Issue	25.0	34.0	7.0	3.5	10.0	1.5	6.5	6.0	6.5	9.0
25 May 2014	EP Election	22.7	26.6	8.0	3.5	9.4	1.2	6.1	6.6	15.9	3.9
8–12 May	GPO	28.3	26.7	6.8	4.6	8.0	3.2	8.3	8.1	6.0	1.6
29 Apr–6 May	Public Issue	29.0	29.0	6.0	3.5	8.5	3.5	7.5	5.5	7.5	0.0
24 Apr–1 May	Palmos Analysis	27.1	33.0	4.1	4.0	8.6	1.9	4.9	7.5	8.9	5.9
28–30 Apr	Metron Analysis	29.2	27.6	6.0	4.7	7.5	2.5	6.2	11.0	5.3	1.6
23–25 Apr	Alco	28.6	27.7	6.3	4.6	8.6	3.2	6.1	6.8	8.0	0.9
8–11 Apr	MRB	26.5	25.3	5.9	4.9	9.9	3.4	7.3	10.0	6.8	1.2
8–9 Apr	Pulse RC	24.0	25.5	7.0	5.0	12.0	2.5	7.0	9.5	7.0	1.5
1–8 Apr	Public Issue	27.5	29.0	6.0	4.0	10.0	3.5	7.0	7.0	6.0	1.5
3–5 Apr	GPO	26.9	25.8	7.1	5.2	8.3	3.7	8.3	10.7	4.4	1.1
3–4 Apr	UoM	23.5	26.0	6.0	3.5	9.0	2.5	9.0	10.5	10.0	2.5
27 Mar–3 Apr	Metron Analysis	25.1	26.5	5.8	3.7	7.9	3.2	6.1	14.2	7.5	1.4
22–27 Mar	Palmos Analysis	25.2	26.8	5.2	4.2	10.3	2.7	6.1	10.3	9.2	1.6
17–18 Mar	Pulse RC	24.5	26.5	7.0	5.0	12.5	2.5	7.0	8.0	7.5	2.0
11–13 Mar	Alco	23.6	25.1	6.7	5.9	9.1	2.9	6.6	11.5	8.6	1.5
4–10 Mar	Public Issue	28.0	28.5	5.5	5.0	10.5	3.0	7.5	7.0	5.0	0.5
27 Feb–4 Mar	Alco	26.3	27.5	5.0	5.3	9.1	3.7	6.8	7.5	8.9	1.2
24 Feb–1 Mar	Palmos Analysis	26.8	33.4	4.7	4.7	13.4	2.5	5.1	Did not exist	9.7	6.6
24–26 Feb	Metron Analysis	28.5	29.2	6.4	5.9	9.7	4.7	8.7	6.9	0.7
5–11 Feb	Alco	28.9	30.2	5.0	5.9	9.1	3.6	8.0	9.3	1.3
6–10 Feb	GPO	26.5	28.1	7.4	5.8	9.5	5.0	8.0	9.7	1.6
3–7 Feb	Public Issue	28.5	30.0	7.0	6.0	8.5	3.5	7.5	9.0	1.5
5 Feb	Marc	27.0	29.8	6.7	5.9	10.0	5.5	6.7	8.6	2.8
4–5 Feb	Metrisi	29.3	29.7	5.8	6.6	12.4	3.8	7.0	5.5	0.4
20–25 Jan	Palmos Analysis	27.2	32.3	4.9	5.9	9.3	2.7	5.8	11.9	5.1
21–24 Jan	Alco	28.2	29.0	6.1	5.6	10.1	4.2	6.0	10.7	0.8
20–22 Jan	Metron Analysis	29.2	30.4	6.4	4.8	10.3	3.7	5.0	10.2	1.2
20–21 Jan	Pulse RC	25.5	29.0	7.0	5.5	13.5	3.5	6.0	10.0	3.5
8–13 Jan	Public Issue	28.0	31.5	6.5	4.5	10.0	3.5	6.5	9.0	3.5
